City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
68,luderitz,-26.6481,15.1594,62.71,70,0,17.81,NA,2023-04-03 21:14:07
69,saint-augustin,51.226,-58.6502,34.56,65,17,9.37,CA,2023-04-03 21:14:08
70,buri,-23.7975,-48.5928,70.84,71,0,1.52,BR,2023-04-03 21:14:08
71,port alfred,-33.5906,26.891,64.18,85,57,5.99,ZA,2023-04-03 21:14:09
72,morondava,-20.2833,44.2833,79.57,82,0,4.61,MG,2023-04-03 21:14:09
73,bredasdorp,-34.5322,20.0403,61.11,81,28,2.55,ZA,2023-04-03 21:14:09
74,vardo,70.3705,31.1107,28.38,80,100,31.07,NO,2023-04-03 21:14:11
75,castro,-24.7911,-50.0119,66.99,72,2,1.43,BR,2023-04-03 21:14:11
76,half moon bay,37.4636,-122.4286,59.54,53,0,33.38,US,2023-04-03 21:14:12
77,laje,-10.1833,-40.9667,80.85,39,69,10.13,BR,2023-04-03 21:11:19
78,rincon,32.296,-81.2354,75.16,60,100,9.22,US,2023-04-03 21:14:13
79,lufilufi,-13.8745,-171.5986,81.79,74,100,4.25,WS,2023-04-03 21:14:13
80,soubre,5.7856,-6.6083,75.78,93,96,1.61,CI,2023-04-03 21:14:13
81,honningsvag,70.9821,25.9704,33.55,69,75,21.85,NO,2023-04-03 21:14:14
82,ribeira grande,38.5167,-28.7,57.78,78,76,5.01,PT,2023-04-03 21:14:14
83,urucara,-2.5364,-57.76,80.08,90,76,1.3,BR,2023-04-03 21:14:14
84,dikson,73.5069,80.5464,-17.48,99,100,11.16,RU,2023-04-03 21:14:15
85,touros,-5.1989,-35.4608,79.27,76,83,7.61,BR,2023-04-03 21:14:15
86,yellowknife,62.456,-114.3525,17.19,84,100,5.01,CA,2023-04-03 21:14:16
87,bethel,41.3712,-73.414,59.04,45,0,14.97,US,2023-04-03 21:14:17
88,wagga wagga,-35.1167,147.3667,59.59,80,34,6.69,AU,2023-04-03 21:14:17
89,busselton,-33.65,115.3333,59.68,79,24,6.4,AU,2023-04-03 21:14:18
90,jamestown,42.097,-79.2353,64.04,42,100,13.8,US,2023-04-03 21:10:06
91,washington,47.5001,-120.5015,49.57,33,74,5.84,US,2023-04-03 21:14:18
92,bluff,-46.6,168.3333,58.8,75,91,13.27,NZ,2023-04-03 21:11:37
93,mana,5.6592,-53.7767,79.41,71,99,10.07,GF,2023-04-03 21:14:19
94,lumberton,34.6182,-79.0086,69.89,55,100,4.61,US,2023-04-03 21:13:23
95,fairbanks,64.8378,-147.7164,31.08,62,20,6.91,US,2023-04-03 21:10:37
96,kodiak,57.79,-152.4072,33.31,100,100,0.0,US,2023-04-03 21:14:20
97,arraial do cabo,-22.9661,-42.0278,78.66,61,75,4.61,BR,2023-04-03 21:13:02
98,hilo,19.7297,-155.09,79.29,72,20,6.91,US,2023-04-03 21:14:22
99,bengkulu,-3.8004,102.2655,74.28,92,100,5.08,ID,2023-04-03 21:14:22
100,corralillo,22.9819,-80.5856,82.06,60,1,19.48,CU,2023-04-03 21:14:23
101,severo-kurilsk,50.6789,156.125,32.04,91,77,14.12,RU,2023-04-03 21:14:23
102,leningradskiy,69.3833,178.4167,-15.99,91,8,2.93,RU,2023-04-03 21:14:24
103,olinda,-8.0089,-34.8553,82.13,69,40,11.5,BR,2023-04-03 21:10:38
104,tiksi,71.6872,128.8694,8.29,95,93,5.75,RU,2023-04-03 21:14:26
105,kahului,20.8947,-156.47,76.84,75,40,11.5,US,2023-04-03 21:13:04
106,mabama,-5.1333,32.5333,64.62,95,100,4.0,TZ,2023-04-03 21:14:27
107,bima,-8.4667,118.7167,74.7,97,100,1.14,ID,2023-04-03 21:14:27
108,thompson,55.7435,-97.8558,16.5,76,100,3.38,CA,2023-04-03 21:09:37
109,butaritari,3.0707,172.7902,82.15,80,97,19.3,KI,2023-04-03 21:14:28
110,chuy,-33.6971,-53.4616,63.97,74,99,4.59,UY,2023-04-03 21:14:31
111,provideniya,64.3833,-173.3,10.51,67,75,15.66,RU,2023-04-03 21:14:31
112,saskylakh,71.9167,114.0833,-7.64,97,97,11.48,RU,2023-04-03 21:14:31
113,faya,18.3851,42.4509,57.72,65,14,4.43,SA,2023-04-03 21:14:31
114,homer,59.6425,-151.5483,35.49,64,100,9.22,US,2023-04-03 21:09:52
115,buraydah,26.326,43.975,66.97,16,8,9.57,SA,2023-04-03 21:11:02
116,broken hill,-31.95,141.4333,58.62,36,0,6.51,AU,2023-04-03 21:14:33
117,sigiriya,7.9518,80.7426,72.36,96,3,2.21,LK,2023-04-03 21:14:33
118,zhuhai,22.2769,113.5678,73.18,100,40,16.11,CN,2023-04-03 21:14:33
119,gari,59.4307,62.3497,37.76,96,99,8.99,RU,2023-04-03 21:14:34
120,katsuura,35.1333,140.3,50.43,65,0,10.69,JP,2023-04-03 21:14:34
121,susangerd,31.5608,48.1831,65.43,45,0,9.86,IR,2023-04-03 21:14:34
122,sao joao da barra,-21.6403,-41.0511,77.09,75,100,10.47,BR,2023-04-03 21:14:35
123,tura,25.5198,90.2201,69.4,71,97,5.55,IN,2023-04-03 21:14:35
124,jiaocheng,24.6774,116.1389,66.31,95,100,2.98,CN,2023-04-03 21:14:35
125,hailar,49.2,119.7,20.16,40,0,14.36,CN,2023-04-03 21:14:36
126,norman wells,65.282,-126.8329,24.84,80,40,4.61,CA,2023-04-03 21:14:36
127,coquimbo,-29.9533,-71.3436,65.93,77,20,12.66,CL,2023-04-03 21:14:36
128,odweyne,9.4092,45.064,78.01,58,100,3.27,SO,2023-04-03 21:14:37
129,pucallpa,-8.3791,-74.5539,86.04,66,40,8.05,PE,2023-04-03 21:09:39
